rank,region,founder,university,admission_type,college,department,quota,applicants,rate
24,서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),문과대학,문헌정보학과,2,1,0.5
24,서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),생활과학대학,가족자원경영학과,2,1,0.5
24,서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),사회과학대학,정치외교학과,2,1,0.5
24,서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),사회과학대학,행정학과,2,1,0.5
24,서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),이과대학,수학과,2,1,0.5
24,서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),공과대학,인공지능공학부,2,1,0.5
30,경기,사립,단국대학교(죽전),[논술위주] 논술우수자 경쟁률 현황 (죽전),,고분자시스템공학부(고분자공학전공),4,2,0.5
30,경기,사립,단국대학교(죽전),[논술위주] 논술우수자 경쟁률 현황 (죽전),,AI건축융합학과,2,1,0.5
30,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (천안),,의생명과학부(생명과학전공),2,1,0.5
33,서울,사립,성신여자대학교,논술우수자,,바이오신약의과학부,8,4,0.5
37,경기,사립,명지대학교(용인),학생부종합(농어촌학생전형),,AI응용시스템전공,2,1,0.5
37,서울,사립,명지대학교(서울),학생부종합(농어촌학생전형),,AI응용시스템전공,2,1,0.5
38,대전,국립,충남대학교,농어촌학생전형,인문대학,국어국문학과,2,1,0.5
38,대전,국립,충남대학교,농어촌학생전형,인문대학,영어영문학과,2,1,0.5
38,대전,국립,충남대학교,농어촌학생전형,경상대학,무역학과,2,1,0.5
38,대전,국립,충남대학교,농어촌학생전형,자연과학대학,반도체융합학과,2,1,0.5
39,경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,바이오나노학과,2,1,0.5
39,경기,사립,가천대학교(성남),농어촌(종합) 전형,인문계열,응용통계학과,2,1,0.5
39,경기,사립,가천대학교(성남),농어촌(종합) 전형,자연계열,신소재공학과,2,1,0.5
42,세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,인공지능사이버보안학과,10,5,0.5
