region,founder,university,admission_type,college,department,quota,applicants,rate
충북,사립,극동대학교,정원 외 학생부교과 농어촌학생전형(정원 외),,"사회복지학부(사회복지, 재활상담치료, 안경광학, 상담복지)",9,1,0.11
세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,디지털헬스케어공학과,7,1,0.14
경기,사립,한신대학교,논술,인문,사회학,6,1,0.17
세종,사립,고려대학교(세종),논술(일반전형),공공정책대학,빅데이터사이언스학부,9,2,0.22
경기,사립,한신대학교,논술,인문,경제금융학,12,3,0.25
충남,사립,백석대학교,정원외 모집 학생부 교과 농어촌학생 일반전형,,관광학부 글로벌호텔비즈니스,4,1,0.25
충남,사립,백석대학교,정원외 모집 학생부 교과 농어촌학생 일반전형,,관광학부,10,3,0.3
세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,반도체물리학부,9,3,0.33
경기,사립,서울장신대학교,학생부교과위주(농어촌 및 특수교육대상자) 특수교육대상자(정원외),,"자율전공학부(학과 선택 시 인원, 성적 제한 없음)",6,2,0.33
경기,사립,한신대학교,논술,인문,한국어문학,6,2,0.33
충남,사립,백석대학교,정원외 모집 학생부 교과 농어촌학생 일반전형,,어문학부,6,2,0.33
충북,사립,극동대학교,정원 외 학생부교과 농어촌학생전형(정원 외),,"항공운항학과(고정익, 회전익)",6,2,0.33
경기,사립,한신대학교,농어촌학생,휴먼서비스계열,심리·아동학,3,1,0.33
충북,사립,극동대학교,정원 외 학생부교과 농어촌학생전형(정원 외),,작업치료학과,3,1,0.33
충북,사립,우석대학교(진천),실기(실적)위주_농어촌학생(정원외),체육대학,체육학과(전주) [교직],3,1,0.33
충북,사립,우석대학교(진천),실기(실적)위주_농어촌학생(정원외),체육대학,태권도학과(전주) [교직],3,1,0.33
경기,사립,한신대학교,논술,자연,빅데이터융합학,10,4,0.4
경기,사립,한신대학교,논술,인문,재활상담학,5,2,0.4
서울,사립,동국대학교(서울),논술,첨단융합,시스템반도체학부,5,2,0.4
경기,사립,강남대학교,[정원내]논술위주(논술전형),인문사회계,법행정세무학부(야),22,9,0.41
경기,사립,한신대학교,논술,인문,국제관계학,7,3,0.43
경기,사립,강남대학교,[정원내]논술위주(논술전형),인문사회계,상경학부(야),27,12,0.44
경기,사립,신한대학교(의정부/동두천),논술전형(약술형)(교과10%+논술90%),,첨단소재공학과,10,5,0.5
경기,사립,한신대학교,논술,인문,동아시아통상학,8,4,0.5
세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,신소재화학과,8,4,0.5
세종,사립,고려대학교(세종),논술(일반전형),글로벌비즈니스대학,표준·지식학과,8,4,0.5
경기,사립,한신대학교,논술,인문,중국어문화콘텐츠학,6,3,0.5
서울,사립,홍익대학교(서울),농어촌학생전형,공과대학,컴퓨터공학과,4,2,0.5
경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (천안),,의생명과학부(생명과학전공),2,1,0.5
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,보건과학대학,의생명과학과,2,1,0.5
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,AI공과대학,AI건설융합공학과,2,1,0.5
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,AI공과대학,반도체융합공학과 [교직],2,1,0.5
경기,사립,대진대학교,학생부교과(농어촌학생전형-정원외) - 교과100%,예술대학,산업디자인학과 [교직],2,1,0.5
경기,사립,안양대학교(안양),학생부교과(농어촌학생),,식품영양학과(교직),2,1,0.5
경기,사립,용인대학교,정원외 농어촌학생 특별전형,인문사회융합대학,관광경영학과,2,1,0.5
서울,사립,삼육대학교,농어촌전형,,화학생명과학과,2,1,0.5
서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),기술경영융합대학,MSDE학과,2,1,0.5
서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),문과대학,교육학부,2,1,0.5
대전,사립,건양대학교(대전),농어촌학생전형,,의료IT공학과,2,1,0.5
대전,사립,건양대학교(대전),농어촌학생전형,,임상의약바이오학과,2,1,0.5
세종,사립,홍익대학교(세종),농어촌학생전형,AID융합과학기술대학,나노반도체공학과,2,1,0.5
세종,사립,홍익대학교(세종),농어촌학생전형,AID융합과학기술대학,건축공학부,2,1,0.5
충남,사립,건양대학교(논산),농어촌학생전형,,의료IT공학과,2,1,0.5
충남,사립,건양대학교(논산),농어촌학생전형,,임상의약바이오학과,2,1,0.5
